num,team,SSG,Kiwoom,LG,KT,KIA,NC,Samsung,Lotte,Doosan,Hanwha,year
0,SSG,■,11-5-0,8-7-1,8-8-0,11-5-0,8-7-1,11-5-0,10-5-1,11-4-1,10-6-0,2022
1,Kiwoom,5-11-0,■,6-10-0,8-7-1,10-6-0,11-4-1,11-5-0,10-6-0,7-9-0,12-4-0,2022
2,LG,7-8-1,10-6-0,■,9-7-0,10-6-0,10-6-0,12-4-0,7-8-1,10-6-0,12-4-0,2022
3,KT,8-8-0,7-8-1,7-9-0,■,10-5-1,8-8-0,11-5-0,9-7-0,12-4-0,8-8-0,2022
4,KIA,5-11-0,6-10-0,6-10-0,5-10-1,■,9-7-0,6-10-0,12-4-0,9-7-0,12-4-0,2022
5,NC,7-8-1,4-11-1,6-10-0,8-8-0,7-9-0,■,10-6-0,8-8-0,8-8-0,9-6-1,2022
6,Samsung,5-11-0,5-11-0,4-12-0,5-11-0,10-6-0,6-10-0,■,8-7-1,11-5-0,12-3-1,2022
7,Lotte,5-10-1,6-10-0,8-7-1,7-9-0,4-12-0,8-8-0,7-8-1,■,7-8-1,12-4-0,2022
8,Doosan,4-11-1,9-7-0,6-10-0,4-12-0,7-9-0,8-8-0,5-11-0,8-7-1,■,9-7-0,2022
9,Hanwha,6-10-0,4-12-0,4-12-0,8-8-0,4-12-0,6-9-1,3-12-1,4-12-0,7-9-0,■,2022
