num,team,LG,KT,SSG,NC,Doosan,KIA,Lotte,Samsung,Hanwha,Kiwoom,year
0,LG,-,10-6-0,12-4-0,6-10-0,11-5-0,7-9-0,10-6-0,10-6-0,9-6-1,11-4-1,2023
1,KT,6-10-0,-,10-5-1,10-6-0,10-5-1,6-10-0,13-3-0,8-8-0,9-6-1,7-9-0,2023
2,SSG,4-12-0,5-10-1,-,8-8-0,11-4-1,9-7-0,8-8-0,9-7-0,10-5-1,12-4-0,2023
3,NC,10-6-0,6-10-0,8-8-0,-,8-8-0,6-9-1,9-7-0,8-8-0,9-6-1,11-5-0,2023
4,Doosan,5-11-0,5-10-1,4-11-1,8-8-0,-,12-4-0,7-9-0,11-5-0,10-6-0,12-4-0,2023
5,KIA,9-7-0,10-6-0,7-9-0,9-6-1,4-12-0,-,8-8-0,11-5-0,8-7-1,7-9-0,2023
6,Lotte,6-10-0,3-13-0,8-8-0,7-9-0,9-7-0,8-8-0,-,9-7-0,10-6-0,8-8-0,2023
7,Samsung,6-10-0,8-8-0,7-9-0,8-8-0,5-11-0,5-11-0,7-9-0,-,8-8-0,7-8-1,2023
8,Hanwha,6-9-1,6-9-1,5-10-1,6-9-1,6-10-0,7-8-1,6-10-0,8-8-0,-,8-7-1,2023
9,Kiwoom,4-11-1,9-7-0,4-12-0,5-11-0,4-12-0,9-7-0,8-8-0,8-7-1,7-8-1,-,2023
