num,team,LG,KIA,Doosan,Samsung,SSG,NC,Hanwha,Lotte,KT,Kiwoom,year
0,LG,-,2-4-0,4-4-0,3-3-1,6-2-1,7-2-0,2-3-0,5-1-0,6-3-0,3-5-0,2024
1,KIA,4-2-0,-,6-5-1,2-3-0,2-5-0,8-1-0,4-1-0,3-5-0,4-5-0,4-0-0,2024
2,Doosan,4-4-0,5-6-1,-,1-5-0,3-3-0,6-2-0,4-3-0,2-3-1,7-2-0,5-1-0,2024
3,Samsung,3-3-1,3-2-0,5-1-0,-,2-6-0,3-3-0,7-2-0,4-4-0,3-2-0,5-6-0,2024
4,SSG,2-6-1,5-2-0,3-3-0,6-2-0,-,0-5-0,2-6-0,4-3-0,4-2-0,7-2-0,2024
5,NC,2-7-0,1-8-0,2-6-0,3-3-0,5-0-0,-,5-1-2,6-3-0,3-3-0,4-1-0,2024
6,Hanwha,3-2-0,1-4-0,3-4-0,2-7-0,6-2-0,1-5-2,-,4-3-0,6-3-0,2-4-0,2024
7,Lotte,1-5-0,5-3-0,3-2-1,4-4-0,3-4-0,3-6-0,3-4-0,-,3-1-1,1-6-0,2024
8,KT,3-6-0,5-4-0,2-7-0,2-3-0,2-4-0,3-3-0,3-6-0,1-3-1,-,6-1-0,2024
9,Kiwoom,5-3-0,0-4-0,1-5-0,6-5-0,2-7-0,1-4-0,4-2-0,6-1-0,1-6-0,-,2024
