,final ranking,team,game,win,lose,draw,Winning Percentage,regular ranking,year
0,1,LG,64,37,25,2,0.597,1,2024
1,2,KIA,62,36,25,1,0.59,2,2024
2,3,Doosan,65,36,27,2,0.571,3,2024
3,4,Samsung,62,33,28,1,0.541,4,2024
4,5,SSG,62,31,30,1,0.508,5,2024
5,6,NC,62,29,32,1,0.475,6,2024
6,7,Hanwha,61,27,33,1,0.45,7,2024
7,8,Lotte,60,25,33,2,0.431,8,2024
8,9,KT,62,26,35,1,0.426,9,2024
9,10,Kiwoom,60,24,36,0,0.4,10,2024
10,1,LG,144,86,56,2,0.606,1,2023
11,2,KT,144,79,62,3,0.56,2,2023
12,3,SSG,144,76,65,3,0.539,3,2023
13,4,NC,144,75,67,2,0.528,4,2023
14,5,Doosan,144,74,68,2,0.521,5,2023
15,6,KIA,144,73,69,2,0.514,6,2023
16,7,Lotte,144,68,76,0,0.472,7,2023
17,8,Samsung,144,61,82,1,0.427,8,2023
18,9,Hanwha,144,58,80,6,0.42,9,2023
19,10,Kiwoom,144,58,83,3,0.411,10,2023
20,1,SSG,144,88,52,4,0.629,1,2022
21,2,Kiwoom,144,80,62,2,0.563,3,2022
22,3,LG,144,87,55,2,0.613,2,2022
23,4,KT,144,80,62,2,0.563,4,2022
24,5,KIA,144,70,73,1,0.49,5,2022
25,6,NC,144,67,74,3,0.475,6,2022
26,7,Samsung,144,66,76,2,0.465,7,2022
27,8,Lotte,144,64,76,4,0.457,8,2022
28,9,Doosan,144,60,82,2,0.423,9,2022
29,10,Hanwha,144,46,96,2,0.324,10,2022
30,1,KT,144,76,59,9,0.563,1,2021
31,2,Doosan,144,71,65,8,0.522,4,2021
32,3,Samsung,144,76,59,9,0.563,2,2021
33,4,LG,144,72,58,14,0.554,3,2021
34,5,Kiwoom,144,70,67,7,0.511,5,2021
35,6,SSG,144,66,64,14,0.508,6,2021
36,7,NC,144,67,68,9,0.496,7,2021
37,8,Lotte,144,65,71,8,0.478,8,2021
38,9,KIA,144,58,76,10,0.433,9,2021
39,10,Hanwha,144,49,83,12,0.371,10,2021
